web,count,bblsize,web_numeric
React,10156,10.156,1
Node.js,6899,6.899,2
jQuery,3657,3.657,3
Express,3049,3.049,4
Next.js,3012,3.012,5
Angular,2994,2.994,6
ASP.NET CORE,2973,2.973,7
Vue.js,2693,2.693,8
Spring Boot,2262,2.262,9
ASP.NET,2177,2.177,10
