web,count,bblsize,web_numeric
React,39443,39.443,1
Node.js,19772,19.772,2
jQuery,10381,10.381,3
Next.js,8681,8.681,4
Express,8614,8.614,5
Angular,8306,8.306,6
ASP.NET CORE,8187,8.187,7
Vue.js,7483,7.483,8
ASP.NET,6265,6.265,9
Flask,6245,6.245,10
