web,count,bblsize,web_numeric
React,42306,42.306,1
Node.js,14735,14.735,2
Next.js,8507,8.507,3
Vue.js,7604,7.604,4
ASP.NET CORE,6905,6.905,5
Angular,6364,6.364,6
Express,5616,5.616,7
Svelte,5374,5.374,8
Spring Boot,5068,5.068,9
Django,4973,4.973,10
