web,count,bblsize,web_numeric
Node.js,9230,9.23,1
React,8999,8.999,2
jQuery,4810,4.81,3
Express,4408,4.408,4
Next.js,4399,4.399,5
ASP.NET CORE,4319,4.319,6
Angular,4038,4.038,7
Vue.js,3642,3.642,8
ASP.NET,3094,3.094,9
Spring Boot,2916,2.916,10
